merchant_id,merchant_user_cnt,merchant_total_actions,merchant_item_cnt,merchant_brand_cnt,merchant_cat_cnt,merchant_action_0_cnt,merchant_action_1_cnt,merchant_action_2_cnt,merchant_action_3_cnt,merchant_buy_user_cnt,merchant_buy_ratio,merchant_avg_actions_per_user
32,1227,3711,266,33,12,3403,12.0,143,153,127,0.10342019543973942,3.021986970684039
33,16414,38251,208,1,18,32941,51.0,2342,2917,1749,0.10654888821200122,2.330246725555894
34,5014,13845,125,1,24,10665,22.0,2349,809,1731,0.3451645064805583,2.760717846460618
35,3220,10388,467,1,25,8927,11.0,765,685,609,0.1890717168581186,3.225085377212046
36,451,1051,48,1,12,870,0.0,120,61,87,0.19247787610619468,2.325221238938053
37,1695,4118,35,1,7,3246,2.0,573,297,376,0.22169811320754718,2.428066037735849
38,1609,3461,97,1,4,3073,12.0,126,250,119,0.07391304347826087,2.149689440993789
39,710,2015,253,7,63,1602,1.0,305,107,179,0.2517580872011252,2.8340365682137834
40,6296,18310,288,1,23,16906,36.0,332,1036,273,0.043353978084802285,2.9077338415118312
41,923,4101,148,1,6,3705,7.0,223,166,134,0.14502164502164502,4.438311688311688
42,533,6459,852,4,24,6148,1.0,120,190,54,0.10112359550561797,12.095505617977528
43,2657,9031,667,8,50,7744,19.0,807,461,438,0.16478555304740405,3.3976674191121146
44,4479,15494,305,1,15,13809,9.0,873,803,551,0.12299107142857142,3.458482142857143
45,328,695,31,1,4,583,0.0,70,42,60,0.182370820668693,2.1124620060790273
46,1577,4172,97,1,11,3473,8.0,555,136,439,0.2782002534854246,2.643852978453739
47,1507,4156,81,1,11,3220,1.0,602,333,287,0.1903183023872679,2.7559681697612732
48,677,1647,50,1,7,1402,6.0,146,93,118,0.17404129793510326,2.4292035398230087
49,446,1193,31,1,3,1098,0.0,32,63,30,0.06711409395973154,2.668903803131991
50,1422,4050,69,1,14,3448,6.0,329,267,221,0.15530569219957835,2.8460997891777935
51,4662,8870,130,1,9,7652,15.0,426,777,354,0.07591679176495818,1.9022088784044606
52,330,1081,22,1,7,925,2.0,77,77,74,0.22356495468277945,3.2658610271903323
53,4481,13218,133,1,27,12120,11.0,316,771,216,0.04819277108433735,2.9491298527443104
54,2423,9145,108,1,2,7781,16.0,790,558,477,0.1967821782178218,3.772689768976898
55,7276,16453,299,1,19,15013,14.0,381,1045,330,0.045348357839769135,2.2609591864779444
56,6237,16494,285,1,5,14712,32.0,548,1202,465,0.07454312279576787,2.644116704071818
57,779,2064,206,1,6,1861,5.0,75,123,62,0.07948717948717948,2.646153846153846
58,1862,5146,39,2,10,3988,10.0,813,335,789,0.42351046698872785,2.762211486849168
59,1498,4603,469,1,21,4164,11.0,252,176,194,0.12941961307538358,3.0707138092061372
60,5764,15662,150,4,11,12675,12.0,2196,779,1315,0.22810060711188204,2.71673894189072
61,552,1347,57,1,15,1160,2.0,117,68,87,0.15732368896925858,2.4358047016274864
62,3427,8791,276,15,16,7003,1.0,1207,580,867,0.2529171528588098,2.564469078179697
63,8245,27625,754,1,23,24692,82.0,982,1869,843,0.10223138491389765,3.3501091438273103
64,155,395,52,1,8,378,0.0,8,9,8,0.05128205128205128,2.532051282051282
65,1974,6294,155,5,30,4919,7.0,879,489,633,0.32050632911392407,3.1868354430379746
66,11814,41720,96,1,12,34942,63.0,4809,1906,4107,0.34760897164621246,3.5311045281421922
67,788,3001,117,1,16,2499,1.0,395,106,254,0.32192648922686945,3.8035487959442333
68,2487,7965,176,2,12,6848,10.0,737,370,498,0.20016077170418006,3.2013665594855305
69,1611,5184,35,2,7,4709,6.0,200,269,181,0.11228287841191067,3.2158808933002483
70,1229,2937,467,4,4,2683,6.0,95,153,84,0.06829268292682927,2.3878048780487804
71,4582,26072,245,1,7,23451,21.0,1653,947,1031,0.2249618154047567,5.68885009818896
72,4867,17138,350,1,20,15226,17.0,440,1455,350,0.07189811010682005,3.520542317173377
73,2202,5635,71,1,13,4936,9.0,290,400,227,0.10304130730821606,2.557875624148888
74,5311,16225,160,3,17,14552,12.0,815,846,513,0.09657379518072289,3.0544051204819276
75,876,2410,471,1,1,2114,3.0,177,116,144,0.16419612314709237,2.748004561003421
76,1852,6214,451,6,31,5406,20.0,470,318,285,0.15380464112250405,3.3534808418780355
77,506,3012,467,1,27,2860,0.0,56,96,41,0.08086785009861933,5.940828402366864
78,2994,9824,294,5,31,8393,14.0,737,680,510,0.17028380634390652,3.280133555926544
79,4057,10093,161,1,2,8700,11.0,593,789,526,0.12962050271069492,2.4871858058156726
80,389,2045,134,1,6,1841,1.0,136,67,82,0.21025641025641026,5.243589743589744
81,741,2482,96,1,6,2221,7.0,147,107,108,0.14555256064690028,3.3450134770889486
82,3210,8399,185,1,9,7520,17.0,395,467,341,0.10619744627841794,2.6156960448458424
83,1443,5766,56,1,2,4966,15.0,556,229,275,0.1904432132963989,3.9930747922437675
84,7616,20725,220,1,11,17635,41.0,2221,828,1385,0.1818301168439018,2.720887488512538
85,739,1986,56,2,12,1685,4.0,207,90,137,0.18513513513513513,2.6837837837837837
86,4258,19329,729,1,7,17712,19.0,538,1060,405,0.09509274477576896,4.538389293261329
87,1021,3606,92,1,5,2847,0.0,474,285,234,0.22896281800391388,3.528375733855186
88,1766,3809,475,1,7,3337,8.0,155,309,138,0.07809847198641766,2.155631013016412
89,1546,4619,254,1,6,4069,10.0,210,330,170,0.10989010989010989,2.9857789269553976
90,499,1910,158,1,10,1782,3.0,46,79,37,0.074,3.82
91,683,1683,63,1,11,1541,2.0,73,67,64,0.0935672514619883,2.460526315789474
92,1374,3283,227,6,9,2778,4.0,261,240,217,0.15781818181818183,2.387636363636364
93,4395,13283,183,1,12,12076,20.0,128,1059,116,0.026387625113739762,3.0216105550500454
94,2467,6593,288,1,19,5962,9.0,173,449,155,0.06280388978930308,2.6713938411669367
95,3035,7432,151,1,13,6706,12.0,228,486,205,0.06752305665349144,2.447957839262187
96,438,3261,127,1,6,2818,3.0,282,158,128,0.29157175398633256,7.428246013667426
97,837,2351,396,3,15,2088,5.0,159,99,129,0.15393794749403342,2.805489260143198
98,2158,8025,152,2,17,6527,5.0,914,579,652,0.301991662806855,3.716998610467809
99,162,586,166,1,3,451,0.0,118,17,34,0.2085889570552147,3.5950920245398774
100,1858,4781,38,3,13,4055,7.0,538,181,325,0.17482517482517482,2.5718128025820333
101,2600,7717,374,12,56,6653,22.0,664,378,445,0.1710880430603614,2.9669357939254133
102,4296,17140,22,2,4,15281,18.0,869,972,704,0.1638352338841052,3.9888294158715385
103,1435,3342,263,1,5,2962,5.0,92,283,83,0.057799442896935935,2.3272980501392757
104,3367,8713,16,1,3,7124,16.0,1152,421,795,0.23604513064133018,2.5869952494061756
105,139,434,37,7,5,367,0.0,45,22,40,0.2857142857142857,3.1
106,12795,34305,139,1,21,29324,55.0,1625,3301,1231,0.09620193810565802,2.680915911222257
107,2202,5549,415,2,4,4949,8.0,159,433,150,0.06808896958692692,2.5188379482523833
108,1368,2819,125,1,14,2539,5.0,82,193,77,0.056245434623813005,2.0591672753834915
109,2530,6156,64,1,2,5330,9.0,202,615,176,0.06953773212169104,2.4322402212564205
110,454,1281,16,1,1,1076,5.0,164,36,146,0.3208791208791209,2.8153846153846156
111,4919,18346,198,1,16,15080,34.0,2115,1117,1455,0.29573170731707316,3.7288617886178863
112,497,1284,135,9,7,1119,3.0,110,52,106,0.21285140562248997,2.5783132530120483
113,1075,2287,21,1,7,2000,4.0,137,146,118,0.10966542750929369,2.12546468401487
114,5314,24001,140,2,8,21210,11.0,1583,1197,1216,0.22878645343367826,4.515710253998119
115,1816,5890,667,2,27,5551,7.0,145,187,116,0.06384149697303247,3.241607044578976
116,5280,15719,91,1,3,14081,17.0,753,868,525,0.09941298996402197,2.9765195985608788
117,438,1211,97,3,11,1026,2.0,100,83,94,0.214123006833713,2.7585421412300684
118,5496,9701,69,1,15,8785,27.0,368,521,278,0.05057303983991268,1.7647807895215573
119,835,1765,44,1,14,1517,3.0,112,133,94,0.11244019138755981,2.111244019138756
120,2518,7601,204,1,21,6212,11.0,1017,361,684,0.27153632393807065,3.017467248908297
121,10931,79865,1179,1,26,72265,121.0,4780,2699,2754,0.2519209659714599,7.305616538602268
122,1790,4219,105,1,12,3807,7.0,168,237,147,0.08207705192629816,2.3556672250139585
123,704,2409,107,1,11,1999,3.0,274,133,149,0.21134751773049645,3.4170212765957446
124,461,1398,201,13,51,1225,0.0,136,37,83,0.17965367965367965,3.0259740259740258
125,2022,6492,109,1,9,5930,6.0,66,490,52,0.02570439940682155,3.209095402867029
126,95,231,52,4,22,207,0.0,15,9,7,0.07291666666666667,2.40625
127,4753,11207,308,1,20,9644,4.0,803,756,553,0.11632309633992427,2.357383256205301
128,740,1542,30,1,8,1382,7.0,97,56,69,0.0931174089068826,2.080971659919028
129,1111,2617,43,1,1,2332,4.0,113,168,108,0.09712230215827339,2.3534172661870505
130,827,2157,42,1,4,1835,3.0,124,195,80,0.0966183574879227,2.6050724637681157
131,9389,29379,1277,3,5,25468,30.0,1105,2776,853,0.09084132055378062,3.1287539936102235
132,1741,5734,230,2,9,4887,5.0,480,362,426,0.24454649827784156,3.2916188289322617
133,5849,19995,144,1,3,17227,54.0,1035,1679,951,0.16256410256410256,3.417948717948718
134,1878,3991,49,1,7,3386,12.0,391,202,301,0.16019159127195318,2.1240021287919104
135,385,2778,173,1,12,2528,3.0,104,143,57,0.14766839378238342,7.196891191709844
136,2868,7321,258,1,7,6781,6.0,173,361,114,0.039735099337748346,2.5517601951899618
137,1833,5027,89,11,18,4337,6.0,469,215,408,0.22246455834242093,2.7410032715376227
138,2177,5974,138,1,10,5057,0.0,519,398,489,0.22451790633608815,2.7428833792470155
139,9965,31659,279,1,15,29139,37.0,735,1748,614,0.06160947220549869,3.1767007826610474
140,4623,11320,205,1,17,10087,17.0,387,829,299,0.06466262975778547,2.4480968858131487
141,19149,100016,1366,1,34,89427,103.0,3868,6618,2519,0.13154046997389035,5.222767624020888
142,6593,17346,57,1,19,13213,29.0,2610,1494,2099,0.31831968456172277,2.6305732484076434
143,437,1022,83,1,16,894,5.0,48,75,40,0.091324200913242,2.3333333333333335
144,8629,28503,366,1,20,25080,31.0,1423,1969,1123,0.13012746234067207,3.3027809965237545
145,6834,21777,707,2,5,18504,51.0,1527,1695,1334,0.19517190929041697,3.186100950987564
146,1583,3369,65,2,2,2788,2.0,410,169,381,0.24053030303030304,2.1268939393939394
147,285,839,42,1,9,711,0.0,108,20,61,0.21328671328671328,2.9335664335664338
148,6190,24654,614,26,126,21047,39.0,2690,878,1097,0.17719269907930868,3.982232272653852
149,483,2967,104,1,4,2765,1.0,74,127,55,0.11363636363636363,6.130165289256198
150,191,403,19,1,6,316,2.0,64,21,44,0.22916666666666666,2.0989583333333335
151,2013,4732,44,3,8,3983,3.0,519,227,390,0.1936444885799404,2.349553128103277
152,2404,8107,172,1,13,6829,12.0,763,503,645,0.2681912681912682,3.3708939708939707
153,502,1283,15,1,2,1084,1.0,82,116,77,0.15308151093439365,2.5506958250497016
154,1864,4605,98,8,9,3671,3.0,734,197,548,0.2938337801608579,2.4691689008042896
155,1115,3460,165,32,50,2953,2.0,287,218,204,0.1827956989247312,3.100358422939068
156,792,1808,101,1,8,1603,3.0,71,131,66,0.0832282471626734,2.279949558638083
157,431,1128,62,1,6,951,4.0,104,69,85,0.19675925925925927,2.611111111111111
158,15840,137055,3389,2,61,127816,124.0,3307,5808,1547,0.09765797613787008,8.651915914399343
159,1251,3404,126,2,15,3039,2.0,232,131,163,0.13019169329073482,2.718849840255591
160,726,2344,140,1,4,2148,5.0,83,108,75,0.1031636863823934,3.2242090784044017
161,2726,7662,163,1,4,6805,6.0,474,377,414,0.15181518151815182,2.8096809680968096
162,457,1070,75,1,2,960,1.0,46,63,40,0.08733624454148471,2.336244541484716
163,1253,3293,28,7,9,2983,1.0,198,111,173,0.1379585326953748,2.6259968102073366
164,254,474,34,1,4,395,2.0,43,34,38,0.14901960784313725,1.8588235294117648
165,4805,14502,199,1,19,12918,23.0,500,1061,347,0.07220141489804412,3.017478152309613
166,890,5479,667,1,2,4949,0.0,233,297,98,0.10998877665544332,6.149270482603816
167,23154,66888,2391,214,123,63235,43.0,808,2802,694,0.02997192830922047,2.8887065428633125
168,3772,25333,299,1,13,21103,41.0,3616,573,1302,0.3450834879406308,6.714285714285714
169,509,1441,30,1,4,1287,3.0,66,85,55,0.10784313725490197,2.8254901960784315
170,1030,3531,414,1,6,3008,3.0,184,336,140,0.13579049466537343,3.4248302618816684
171,2639,8038,30,3,10,6810,16.0,1004,208,744,0.2818181818181818,3.04469696969697
172,5042,10188,73,1,8,9181,28.0,195,784,185,0.03668451318659528,2.0202260559190957
173,35106,161248,791,2,6,144415,194.0,4377,12262,3726,0.10613268009228928,4.593044122254821
174,1444,3398,293,22,18,2872,3.0,439,84,353,0.24429065743944636,2.3515570934256056
175,2147,5044,22,1,6,4534,2.0,160,348,142,0.06610800744878957,2.3482309124767227
176,1574,3685,112,1,6,3094,1.0,389,201,322,0.20444444444444446,2.33968253968254
177,821,1685,61,1,7,1524,2.0,75,84,71,0.08637469586374696,2.0498783454987834
178,2021,5511,148,1,6,4901,15.0,278,317,258,0.12759643916913946,2.7255192878338277
179,769,1604,40,1,3,1336,6.0,126,136,110,0.14285714285714285,2.083116883116883
180,603,1335,146,3,5,1191,6.0,33,105,29,0.048013245033112585,2.2102649006622515
181,3203,14679,275,1,7,13810,6.0,188,675,128,0.039950062421972535,4.581460674157303
182,600,1663,55,9,13,1426,4.0,114,119,97,0.16139767054908485,2.767054908485857
183,1152,2786,36,1,11,2279,2.0,313,192,280,0.24284475281873374,2.4163052905464006
184,30120,613811,153,2,33,598893,99.0,4671,10148,3341,0.11091929218817437,20.378174695395238
185,798,1312,194,52,47,82,18.0,454,758,312,0.3904881101376721,1.6420525657071339
186,5703,16522,111,1,13,14389,10.0,1137,986,898,0.15743338008415148,2.8965638148667603
187,1187,3971,176,1,42,3460,1.0,309,201,160,0.13468013468013468,3.3425925925925926
188,2343,7675,268,1,22,7001,9.0,110,555,88,0.03754266211604096,3.2743174061433447
189,1594,4555,201,1,18,4101,9.0,165,280,144,0.090282131661442,2.8557993730407523
190,1246,3443,60,1,6,2889,9.0,307,238,281,0.22534081796311148,2.76102646351243
191,6891,37930,1180,1,26,32875,22.0,1278,3755,947,0.1374056877539176,5.503482298316889
192,4179,26274,314,1,15,23006,35.0,2312,921,836,0.2,6.285645933014354
193,284,781,124,1,8,717,1.0,43,20,34,0.11929824561403508,2.7403508771929825
194,1165,3214,149,1,18,2803,5.0,231,175,141,0.120926243567753,2.7564322469982847
195,3239,16469,269,1,23,14962,7.0,299,1201,178,0.05493827160493827,5.083024691358025
196,1183,3153,48,1,9,2599,5.0,243,306,231,0.19510135135135134,2.6630067567567566
197,2790,5247,101,1,5,4660,5.0,192,390,156,0.05589394482264421,1.8799713364385524
198,1055,2465,89,1,20,2036,3.0,284,142,237,0.22443181818181818,2.334280303030303
199,8266,39665,369,1,73,33936,86.0,3463,2180,1571,0.19003265997338817,4.79799201645095
200,1944,4926,45,1,17,3975,7.0,494,450,472,0.24267352185089974,2.5326478149100256
201,1232,3356,28,1,3,2902,4.0,327,123,216,0.17518248175182483,2.721816707218167
202,12772,52280,970,1,21,48444,54.0,830,2952,620,0.048539888827996557,4.093008690205903
203,4119,10580,30,1,15,8309,23.0,1610,638,936,0.22718446601941747,2.5679611650485437
204,171,708,17,1,3,608,1.0,70,29,62,0.36046511627906974,4.116279069767442
205,1452,6210,310,2,8,5462,6.0,433,309,255,0.17549896765313144,4.273916035788025
206,3784,8504,173,1,12,7426,6.0,662,410,503,0.13289299867899604,2.2467635402906208
207,4873,24173,357,1,14,20682,38.0,2294,1159,1287,0.26405416495691425,4.959581452605662
208,258,532,23,3,6,461,0.0,53,18,37,0.14285714285714285,2.054054054054054
209,520,1335,37,2,7,1187,5.0,85,58,81,0.15547024952015356,2.5623800383877158
210,601,1662,41,2,18,1307,1.0,218,136,153,0.2541528239202658,2.7607973421926912
211,1144,2668,72,1,19,2350,5.0,144,169,133,0.11615720524017467,2.3301310043668124
212,1819,8024,212,1,32,6686,15.0,952,371,332,0.1824175824175824,4.408791208791209
213,3855,10762,109,1,10,9583,17.0,816,346,662,0.1716804979253112,2.7909751037344397
214,1540,4133,41,2,5,3787,9.0,182,155,142,0.09214795587280987,2.682024659312135
215,5540,19319,1374,1,44,17285,23.0,1167,844,901,0.1626060277928172,3.486554773506587
216,479,1506,82,1,3,1302,7.0,117,80,105,0.21875,3.1375
217,735,1988,42,12,10,1672,1.0,274,41,253,0.34375,2.7010869565217392
218,7315,21756,307,36,47,18779,26.0,2033,918,1666,0.22772006560962274,2.9737561509021324
219,7735,30687,317,1,3,25915,59.0,2810,1903,1738,0.22466390899689762,3.966778697001034
220,2149,6120,30,1,6,5244,7.0,588,281,504,0.2344186046511628,2.8465116279069766
221,1404,3711,91,6,20,2801,1.0,675,234,608,0.4327402135231317,2.6412811387900357
222,2042,7652,97,1,9,6689,8.0,595,360,451,0.22075379344101811,3.7454723445912874
223,864,1670,93,1,12,1467,0.0,102,101,90,0.10404624277456648,1.930635838150289
224,609,1488,44,1,1,1305,2.0,93,88,62,0.10163934426229508,2.439344262295082
225,2986,6482,75,1,11,5718,10.0,461,293,374,0.12520924004017409,2.1700703046534984
226,1337,3332,50,3,15,2691,4.0,300,337,273,0.2040358744394619,2.490284005979073
227,5085,18609,316,1,7,16705,29.0,730,1145,649,0.12760519071962248,3.6588674793550924
228,1275,3204,163,15,26,2482,8.0,557,157,450,0.35266457680250785,2.510971786833856
229,534,1172,163,1,14,1088,4.0,19,61,13,0.024299065420560748,2.1906542056074767
230,812,2416,36,3,4,1909,1.0,403,103,295,0.3628536285362854,2.971709717097171
231,3496,7602,79,3,18,7222,5.0,81,294,73,0.02087503574492422,2.1738633114097796
232,8655,55946,1220,1,38,51721,55.0,1380,2790,854,0.09865988909426987,6.46326247689464
233,3395,10295,122,12,13,8890,11.0,896,498,641,0.18875147232037692,3.0315076560659597
234,8268,21660,238,1,17,18173,31.0,2224,1232,1343,0.16241383480469224,2.619421937356391
235,3010,9970,380,1,1,8784,9.0,663,514,426,0.14148123546994354,3.311192294918632
236,1663,4773,73,1,12,4128,7.0,405,233,332,0.19951923076923078,2.868389423076923
237,192,464,18,1,3,393,0.0,36,35,32,0.16580310880829016,2.4041450777202074
238,1465,3923,152,17,16,3585,9.0,118,211,108,0.07366984993178717,2.6759890859481583
239,2379,7418,236,1,10,6657,17.0,314,430,272,0.11428571428571428,3.1168067226890757
240,1453,3248,21,2,7,2836,3.0,328,81,303,0.20839064649243466,2.233837689133425
241,2529,7236,33,1,6,6054,6.0,792,384,584,0.2308300395256917,2.860079051383399
242,4852,10782,174,1,16,9320,9.0,604,849,482,0.09932000824232433,2.221718524623944
243,645,1807,137,1,10,1568,2.0,149,88,90,0.1393188854489164,2.7972136222910216
244,1142,2871,197,1,2,2627,7.0,43,194,40,0.03499562554680665,2.5118110236220472
245,1803,3595,67,1,13,3123,7.0,244,221,188,0.10421286031042129,1.9927937915742793
246,1667,6251,342,5,11,5582,12.0,400,257,340,0.2038369304556355,3.747601918465228
247,1308,3516,199,20,76,2786,10.0,468,252,327,0.24980901451489687,2.6860198624904505
248,4703,21180,253,1,16,17300,9.0,2722,1149,1561,0.3318452380952381,4.502551020408164
249,845,1847,91,1,15,1593,0.0,133,121,111,0.13120567375886524,2.183215130023641
250,3817,10563,66,1,17,8188,10.0,1424,941,1137,0.29779989523310635,2.7666317443687793
251,1984,4849,112,1,6,4264,8.0,381,196,283,0.14256926952141058,2.4428211586901765
252,2120,5022,381,3,7,4120,3.0,753,146,553,0.2607260726072607,2.3677510608203676
253,705,1595,131,2,15,1399,1.0,99,96,78,0.11048158640226628,2.2592067988668556
254,3617,7814,46,2,6,7246,12.0,373,183,346,0.09563294637921503,2.15975677169707
255,2832,8114,123,1,25,7282,15.0,460,357,389,0.13731027179668195,2.8641016590187083
256,450,1108,30,1,9,923,2.0,132,51,88,0.1951219512195122,2.456762749445676
257,1153,2919,44,3,6,2463,7.0,202,247,190,0.16464471403812825,2.52946273830156
258,1633,3893,51,2,4,3560,5.0,94,234,83,0.05079559363525092,2.3824969400244798
259,1627,5145,834,1,19,4501,10.0,359,275,262,0.16093366093366093,3.1603194103194103
260,3418,6538,47,1,6,5815,18.0,382,323,298,0.08715998830067272,1.9122550453348932
261,1511,4977,237,1,13,3919,11.0,801,246,215,0.1421957671957672,3.2916666666666665
262,2120,4928,275,13,16,4030,1.0,654,243,519,0.2446958981612447,2.3234323432343236
263,1163,2693,236,1,4,2377,1.0,174,141,138,0.11855670103092783,2.3135738831615122
264,411,1106,143,5,20,946,3.0,102,55,76,0.18446601941747573,2.6844660194174756
265,1918,7505,184,1,4,6352,8.0,652,493,239,0.12454403335070349,3.910891089108911
266,2807,6610,85,1,4,5641,8.0,468,493,368,0.13105413105413105,2.3539886039886038
267,4981,19693,371,1,4,17040,39.0,1060,1554,732,0.1469289441991168,3.952830188679245
268,918,5122,708,2,21,4817,8.0,180,117,114,0.12404787812840043,5.573449401523395
269,358,903,109,1,16,792,1.0,85,25,52,0.14484679665738162,2.5153203342618387
270,10194,63295,554,1,49,54110,47.0,5316,3822,2350,0.23050514958312898,6.208435507601766
271,455,1186,33,1,6,944,0.0,220,22,190,0.4166666666666667,2.6008771929824563
272,1074,2407,184,3,16,2119,1.0,170,117,159,0.14790697674418604,2.2390697674418605
273,854,2477,136,1,14,2024,0.0,309,144,237,0.2771929824561403,2.8970760233918127
274,1762,4558,234,1,12,4161,10.0,125,262,102,0.057855927396483264,2.5853658536585367
275,5773,12894,102,1,11,11159,14.0,969,752,803,0.1390717007273987,2.2331139591271216
276,782,1981,100,1,5,1686,6.0,108,181,101,0.12899106002554278,2.530012771392082
277,221,376,6,1,3,338,0.0,21,17,18,0.08108108108108109,1.6936936936936937
278,3373,9295,72,1,7,8314,17.0,352,612,316,0.0936573799644339,2.7548903378778897
279,5058,19537,522,29,112,16156,10.0,2269,1102,1359,0.2686301640640443,3.861830401265072
280,499,1260,78,1,10,1067,4.0,107,82,83,0.166,2.52
281,711,1551,77,1,4,1319,8.0,132,92,113,0.15870786516853932,2.178370786516854
282,2344,6172,411,1,16,5121,10.0,857,184,558,0.23795309168443496,2.6319829424307035
283,3089,9240,42,1,8,8033,10.0,789,408,587,0.18996763754045307,2.9902912621359223
284,8156,30213,125,2,4,26828,67.0,1944,1374,1645,0.2016672796371215,3.7039352703199704
285,1949,7219,82,1,6,6276,24.0,651,268,436,0.2235897435897436,3.702051282051282
286,2861,9911,207,1,15,8731,29.0,930,221,489,0.1708595387840671,3.462962962962963
287,2127,6371,318,1,17,5758,9.0,133,471,84,0.039473684210526314,2.993890977443609
288,1116,2954,56,1,3,2686,11.0,117,140,108,0.09668755595344673,2.6445837063563116
289,1066,3043,49,1,5,2603,8.0,262,170,249,0.23336457357075913,2.851921274601687
290,3250,10065,161,1,3,7857,20.0,1758,430,823,0.2531528760381421,3.0959704706244233
291,2978,10508,169,5,19,8885,13.0,1288,322,660,0.2215508559919436,3.5273581738838535
292,762,1593,75,14,21,1207,2.0,293,91,290,0.3800786369593709,2.0878112712975097
293,3222,10518,46,1,6,8677,40.0,1116,685,950,0.294756438101148,3.263419174681973
294,4128,10394,207,1,27,8908,7.0,315,1164,278,0.06732865100508598,2.5173165415354806
295,1739,3784,82,1,7,3321,14.0,148,301,128,0.0735632183908046,2.174712643678161
296,5231,18073,121,3,22,15750,22.0,1632,669,855,0.16341743119266056,3.4543195718654434
297,2910,6317,29,1,9,5588,15.0,434,280,388,0.13328753005839916,2.170044658193061
298,1075,3661,235,2,7,3362,9.0,107,183,86,0.07992565055762081,3.4024163568773234
299,1528,3676,97,1,4,3149,3.0,369,155,215,0.1406147809025507,2.4041857423152386
300,5759,14270,87,9,17,13617,8.0,222,423,159,0.027604166666666666,2.4774305555555554
301,3783,10326,133,1,5,8057,5.0,1825,439,918,0.24260042283298097,2.7288583509513744
302,1294,4748,101,1,6,3843,5.0,750,150,260,0.20077220077220076,3.6664092664092665
303,1159,2341,64,1,14,2067,1.0,147,126,141,0.12155172413793103,2.018103448275862
304,1831,3957,370,1,20,3444,8.0,329,176,217,0.11844978165938864,2.159934497816594
305,9858,29266,1043,19,47,25596,89.0,2338,1243,1597,0.16198397403387768,2.9684552185820063
306,1217,10965,362,1,52,9906,7.0,680,372,176,0.1444991789819376,9.002463054187192
307,264,802,60,1,4,675,2.0,96,29,78,0.2943396226415094,3.026415094339623
308,1916,4590,113,1,6,4094,6.0,263,227,245,0.1278038601982264,2.3943661971830985
309,862,4654,33,1,6,2925,6.0,798,925,411,0.4762456546929316,5.392815758980301
